range,url,name,passmark,price
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7513&id=4383,AMD EPYC 7513,59988,$2840.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900KF&id=5055,Intel Core i9-13900KF,59746,$569.99
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3365+%40+2.70GHz&id=5193,Intel Xeon W-3365 @ 2.70GHz,59038,$3851.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7443P&id=4391,AMD EPYC 7443P,57613,$1683.99*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900F&id=5143,Intel Core i9-13900F,56768,$563.82
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7542&id=3604,AMD EPYC 7542,56728,$1298.34
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7543&id=4404,AMD EPYC 7543,56562,$3761.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3375+%40+2.50GHz&id=4893,Intel Xeon W-3375 @ 2.50GHz,56403,$4499.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7532&id=4482,AMD EPYC 7532,55483,$2392.95
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3960X&id=3617,AMD Ryzen Threadripper 3960X,54794,$1299.97
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8358+%40+2.60GHz&id=4493,Intel Xeon Platinum 8358 @ 2.60GHz,54416,$5097.75*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6348+%40+2.60GHz&id=4494,Intel Xeon Gold 6348 @ 2.60GHz,52276,$2300.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7900X&id=5027,AMD Ryzen 9 7900X,52149,$448.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8375C+%40+2.90GHz&id=4486,Intel Xeon Platinum 8375C @ 2.90GHz,51836,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7443&id=4708,AMD EPYC 7443,51764,$2230.99*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6314U+%40+2.30GHz&id=4950,Intel Xeon Gold 6314U @ 2.30GHz,51014,$2782.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900&id=5176,Intel Core i9-13900,50890,$579.99
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900HX&id=5205,Intel Core i9-13900HX,50646,$668.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7413&id=4346,AMD EPYC 7413,50223,$1997.99*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7453&id=4663,AMD EPYC 7453,50209,$1905.75
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5955WX&id=4767,AMD Ryzen Threadripper PRO 5955WX,49585,$1393.22
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8347C+%40+2.10GHz&id=4785,Intel Xeon Platinum 8347C @ 2.10GHz,49386,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7502P&id=3538,AMD EPYC 7502P,49191,$2287.20
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7502&id=3880,AMD EPYC 7502,49178,$1490.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7900&id=5167,AMD Ryzen 9 7900,48505,$459.63
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13980HX&id=5201,Intel Core i9-13980HX,48293,$668.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3345+%40+3.00GHz&id=4996,Intel Xeon W-3345 @ 3.00GHz,48261,$2499.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7402&id=3713,AMD EPYC 7402,47668,$1523.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6342+%40+2.80GHz&id=4485,Intel Xeon Gold 6342 @ 2.80GHz,47320,$3272.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700K&id=5060,Intel Core i7-13700K,47047,$417.95
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7845HX&id=5196,AMD Ryzen 9 7845HX,46791,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700KF&id=5061,Intel Core i7-13700KF,46730,$398.83
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6338N+%40+2.20GHz&id=4656,Intel Xeon Gold 6338N @ 2.20GHz,46583,$4671.69*
high,https://www.cpubenchmark.net/cpu.php?cpu=ARM+Neoverse-N1+128+Core+3000+MHz&id=5009,ARM Neoverse-N1 128 Core 3000 MHz,46271,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+73F3&id=4403,AMD EPYC 73F3,46085,$3977.49
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+5950X&id=3862,AMD Ryzen 9 5950X,45889,$493.93
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6336Y+%40+2.40GHz&id=4484,Intel Xeon Gold 6336Y @ 2.40GHz,45517,$2857.95*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7343&id=4388,AMD EPYC 7343,44930,$1699.99*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900KS&id=4813,Intel Core i9-12900KS,44531,$512.99
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6312U+%40+2.40GHz&id=4606,Intel Xeon Gold 6312U @ 2.40GHz,44275,$1809.59*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900T&id=5154,Intel Core i9-13900T,44273,$549.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6330+%40+2.00GHz&id=4513,Intel Xeon Gold 6330 @ 2.00GHz,43056,$1315.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7601&id=3142,AMD EPYC 7601,42244,$875.87
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7313P&id=4407,AMD EPYC 7313P,42057,$913.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7551P&id=3215,AMD EPYC 7551P,41919,$368.65
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7452&id=3600,AMD EPYC 7452,41871,$2143.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7402P&id=3591,AMD EPYC 7402P,41674,$888.88
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900K&id=4597,Intel Core i9-12900K,41576,$432.38
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6354+%40+3.00GHz&id=4627,Intel Xeon Gold 6354 @ 3.00GHz,41445,$2757.99*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700F&id=5163,Intel Core i7-13700F,41432,$369.99
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900KF&id=4611,Intel Core i9-12900KF,41410,$409.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7313&id=4443,AMD EPYC 7313,41060,$1179.99*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7F52&id=3753,AMD EPYC 7F52,41023,$3100.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Apple+M1+Ultra+20+Core&id=4782,Apple M1 Ultra 20 Core,40918,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700&id=4992,Intel Core i7-13700,40895,$399.99
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5945WX&id=4770,AMD Ryzen Threadripper PRO 5945WX,40807,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8275CL+%40+3.00GHz&id=3624,Intel Xeon Platinum 8275CL @ 3.00GHz,40794,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7K62&id=4859,AMD EPYC 7K62,40487,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3275M+%40+2.50GHz&id=3642,Intel Xeon W-3275M @ 2.50GHz,40444,$7453.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3955WX&id=3846,AMD Ryzen Threadripper PRO 3955WX,40310,$1139.99
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7352&id=4500,AMD EPYC 7352,39999,$989.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3265M+%40+2.70GHz&id=4551,Intel Xeon W-3265M @ 2.70GHz,39618,$6353.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13950HX&id=5214,Intel Core i9-13950HX,39326,$590.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+5900X&id=3870,AMD Ryzen 9 5900X,39260,$334.92
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3335+%40+3.40GHz&id=4822,Intel Xeon W-3335 @ 3.40GHz,39040,$1299.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3950X&id=3598,AMD Ryzen 9 3950X,39006,$538.20
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6248R+%40+3.00GHz&id=3732,Intel Xeon Gold 6248R @ 3.00GHz,38604,$2600.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-13600K&id=5008,Intel Core i5-13600K,38484,$319.84
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-13600KF&id=5059,Intel Core i5-13600KF,38423,$296.96
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6346+%40+3.10GHz&id=4657,Intel Xeon Gold 6346 @ 3.10GHz,37626,$2015.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8280+%40+2.70GHz&id=3662,Intel Xeon Platinum 8280 @ 2.70GHz,37575,$7745.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5320+%40+2.20GHz&id=4594,Intel Xeon Gold 5320 @ 2.20GHz,37558,$1745.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6238R+%40+2.20GHz&id=4132,Intel Xeon Gold 6238R @ 2.20GHz,37511,$2515.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900F&id=4694,Intel Core i9-12900F,37450,$486.98
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Silver+4316+%40+2.30GHz&id=4481,Intel Xeon Silver 4316 @ 2.30GHz,37264,$950.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3175X+%40+3.10GHz&id=3420,Intel Xeon W-3175X @ 3.10GHz,37167,$1499.14
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+7700X&id=5036,AMD Ryzen 7 7700X,36456,$341.39
high,https://www.cpubenchmark.net/cpu.php?cpu=ARM+Neoverse-N1+80+Core+3000+MHz&id=4504,ARM Neoverse-N1 80 Core 3000 MHz,36400,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7D12&id=5042,AMD EPYC 7D12,35853,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900HX&id=4895,Intel Core i9-12900HX,35768,$606.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6326+%40+2.90GHz&id=4651,Intel Xeon Gold 6326 @ 2.90GHz,35328,$1406.99
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8180+%40+2.50GHz&id=3207,Intel Xeon Platinum 8180 @ 2.50GHz,35208,$5947.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+7700&id=5169,AMD Ryzen 7 7700,35086,$328.99
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6242R+%40+3.10GHz&id=3861,Intel Xeon Gold 6242R @ 3.10GHz,34963,$2169.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900&id=4729,Intel Core i9-12900,34881,$537.99
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700K&id=4609,Intel Core i7-12700K,34765,$409.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+5900&id=4272,AMD Ryzen 9 5900,34564,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700KF&id=4608,Intel Core i7-12700KF,34541,$276.99
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+PRO+5945&id=5000,AMD Ryzen 9 PRO 5945,34271,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6230R+%40+2.10GHz&id=4070,Intel Xeon Gold 6230R @ 2.10GHz,34145,$1465.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8260M+%40+2.30GHz&id=3858,Intel Xeon Platinum 8260M @ 2.30GHz,33970,$7705.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7302&id=3650,AMD EPYC 7302,33820,$954.41
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12800HX&id=4904,Intel Core i7-12800HX,33804,$457.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+D-2799+%40+2.40GHz&id=4796,Intel Xeon D-2799 @ 2.40GHz,33792,$1933.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3945WX&id=3845,AMD Ryzen Threadripper PRO 3945WX,33412,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5220R+%40+2.20GHz&id=4217,Intel Xeon Gold 5220R @ 2.20GHz,33370,$1478.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8259CL+%40+2.50GHz&id=3671,Intel Xeon Platinum 8259CL @ 2.50GHz,33279,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10980XE+%40+3.00GHz&id=3630,Intel Core i9-10980XE @ 3.00GHz,33116,$917.82
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-13600&id=5159,Intel Core i5-13600,32987,$255.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900H&id=5210,Intel Core i9-13900H,32844,$617.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6278C+%40+2.60GHz&id=4424,Intel Xeon Gold 6278C @ 2.60GHz,32835,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12950HX&id=4860,Intel Core i9-12950HX,32831,$590.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900XT&id=3778,AMD Ryzen 9 3900XT,32820,$539.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900X&id=3493,AMD Ryzen 9 3900X,32736,$419.95
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8168+%40+2.70GHz&id=3111,Intel Xeon Platinum 8168 @ 2.70GHz,32616,$2480.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-13500&id=4993,Intel Core i5-13500,32544,$269.93
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7302P&id=3610,AMD EPYC 7302P,32543,$458.73
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9980XE+%40+3.00GHz&id=3373,Intel Core i9-9980XE @ 3.00GHz,32261,$1274.01
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+2990WX&id=3309,AMD Ryzen Threadripper 2990WX,32093,$3005.25
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8173M+%40+2.00GHz&id=3182,Intel Xeon Platinum 8173M @ 2.00GHz,31837,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+5318Y+%40+2.10GHz&id=4703,Intel Xeon Gold 5318Y @ 2.10GHz,31695,$1361.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8268+%40+2.90GHz&id=3472,Intel Xeon Platinum 8268 @ 2.90GHz,31632,$6005.98*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900T&id=4710,Intel Core i9-12900T,31560,$489.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900E&id=5053,Intel Core i9-12900E,31530,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+PRO+3900&id=3563,AMD Ryzen 9 PRO 3900,31446,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-2295+%40+3.00GHz&id=3701,Intel Xeon W-2295 @ 3.00GHz,31177,$1663.27
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700&id=4669,Intel Core i7-12700,31149,$325.80
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700F&id=4692,Intel Core i7-12700F,31124,$289.99
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7371&id=3387,AMD EPYC 7371,31094,$599.99
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8171M+%40+2.60GHz&id=3220,Intel Xeon Platinum 8171M @ 2.60GHz,30632,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900&id=3575,AMD Ryzen 9 3900,30623,$504.25
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+Embedded+7292P&id=4908,AMD EPYC Embedded 7292P,30542,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9960X+%40+3.10GHz&id=3405,Intel Core i9-9960X @ 3.10GHz,30539,$1498.95
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-7980XE+%40+2.60GHz&id=3092,Intel Core i9-7980XE @ 2.60GHz,30534,$592.15
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6246R+%40+3.40GHz&id=3854,Intel Xeon Gold 6246R @ 3.40GHz,30468,$2470.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12850HX&id=4913,Intel Core i7-12850HX,30359,$428.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700T&id=5223,Intel Core i7-13700T,30304,$384.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9990XE+%40+4.00GHz&id=3770,Intel Core i9-9990XE @ 4.00GHz,30162,$2163.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3265+%40+2.70GHz&id=3541,Intel Xeon W-3265 @ 2.70GHz,30105,$4551.37*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+2970WX&id=3345,AMD Ryzen Threadripper 2970WX,29990,$1149.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12800HE&id=5184,Intel Core i7-12800HE,29805,$506.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3245+%40+3.20GHz&id=3850,Intel Xeon W-3245 @ 3.20GHz,29803,$2683.99*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6248+%40+2.50GHz&id=3517,Intel Xeon Gold 6248 @ 2.50GHz,29504,$1769.00
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7282&id=3625,AMD EPYC 7282,29489,$408.74
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+2950X&id=3316,AMD Ryzen Threadripper 2950X,29467,$1011.33
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8260+%40+2.40GHz&id=3561,Intel Xeon Platinum 8260 @ 2.40GHz,29360,$2995.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6254+%40+3.10GHz&id=3482,Intel Xeon Gold 6254 @ 3.10GHz,29356,$2930.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Silver+4314+%40+2.40GHz&id=4489,Intel Xeon Silver 4314 @ 2.40GHz,29347,$720.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6148+%40+2.40GHz&id=3176,Intel Xeon Gold 6148 @ 2.40GHz,29197,$395.01
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900H&id=4728,Intel Core i9-12900H,29004,$617.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6210U+%40+2.50GHz&id=3540,Intel Xeon Gold 6210U @ 2.50GHz,28915,$2625.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6154+%40+3.00GHz&id=3127,Intel Xeon Gold 6154 @ 3.00GHz,28848,$2198.00
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900HK&id=4702,Intel Core i9-12900HK,28844,$635.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+7600X&id=5033,AMD Ryzen 5 7600X,28753,$240.97
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-2191B+%40+2.30GHz&id=4420,Intel Xeon W-2191B @ 2.30GHz,28745,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6253CL+%40+3.10GHz&id=4539,Intel Xeon Gold 6253CL @ 3.10GHz,28549,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-9940X+%40+3.30GHz&id=3358,Intel Core i9-9940X @ 3.30GHz,28402,$849.99
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700E&id=5018,Intel Core i7-12700E,28292,$344.00*
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7401P&id=3118,AMD EPYC 7401P,28282,$258.38
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-2195+%40+2.30GHz&id=3149,Intel Xeon W-2195 @ 2.30GHz,28210,$1983.82*
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10940X+%40+3.30GHz&id=3639,Intel Core i9-10940X @ 3.30GHz,28098,$747.35
high,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+5800X&id=3869,AMD Ryzen 7 5800X,28080,$216.41
high,https://www.cpubenchmark.net/cpu.php?cpu=ARM+Neoverse-N1+64+Core+0+MHz&id=4167,ARM Neoverse-N1 64 Core 0 MHz,28079,NA
high,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-2275+%40+3.30GHz&id=3891,Intel Xeon W-2275 @ 3.30GHz,28037,$2058.00*
